証券コード	業種	会社名	平均年収	従業員数	平均年齢	平均勤続年数	情報公開日
3020	小売業	アプライド	"4,326,000 "	370 	28.4 	5.6 	2010/6/30
3021	小売業	パシフィックネット	"3,529,000 "	274 	32.3 	3.1 	2009/8/28
3022	卸売業	山下医科器械	"4,463,775 "	630 	34.5 	8.5 	2009/8/27
3023	卸売業	ラサ商事	"6,044,858 "	200 	41.6 	13.7 	2010/6/29
3024	卸売業	クリエイト	"4,562,000 "	374 	38.4 	11.6 	2010/6/28
3027	小売業	レデイ薬局	"3,977,000 "	762 	35.3 	7.6 	2010/6/30
3028	小売業	アルペン	"4,749,404 "	"7,757 "	37.1 	11.8 	2009/9/25
3030	小売業	ハブ	"4,627,000 "	509 	30.2 	4.8 	2010/5/27
3031	卸売業	ラクーン	"4,898,441 "	98 	29.3 	3.5 	2009/7/30
3032	小売業	ゴルフ・ドゥ	"3,890,000 "	167 	34.7 	4.0 	2010/6/25
3033	上場廃止	ビューカンパニー	"3,004,248 "	484 	27.3 	4.3 	2008/5/16
3034	小売業	クオール	"4,718,000 "	"1,557 "	32.5 	4.3 	2010/6/30
3035	卸売業	ケイティケイ	"3,962,778 "	215 	35.3 	8.0 	2009/8/11
3036	卸売業	アルコニックス	"7,234,035 "	160 	43.2 	7.9 	2010/6/23
3037	小売業	スタイライフ	"4,522,000 "	173 	33.7 	3.7 	2010/6/28
3038	卸売業	神戸物産	"4,425,000 "	259 	32.8 	3.5 	2010/1/28
3040	卸売業	ソリトンシステムズ	"5,489,000 "	544 	36.8 	8.6 	2010/6/28
3041	卸売業	ビューティ花壇	"3,800,032 "	298 	28.7 	3.0 	2009/9/25
3042	卸売業	セキュアヴェイル	"4,729,596 "	53 	33.8 	3.2 	2010/6/30
3043	卸売業	モジュレ	"5,085,000 "	41 	35.6 	4.3 	2010/6/29
3044	上場廃止	パワーアップ	"3,444,610 "	849 	28.7 	2.5 	2009/5/29
3045	卸売業	カワサキ	"3,174,679 "	130 	45.3 	5.3 	2009/11/27
3046	小売業	ジェイアイエヌ	"2,926,284 "	628 	26.8 	1.9 	2009/11/27
3047	卸売業	ＴＲＵＣＫ－ＯＮＥ	"4,067,000 "	35 	38.4 	5.4 	2010/3/29
3048	小売業	ビックカメラ	"4,259,720 "	"5,946 "	28.4 	4.2 	2009/11/26
3049	小売業	エノテカ	"3,978,566 "	340 	31.5 	3.1 	2010/6/30
3050	小売業	ＤＣＭホールディングス	"7,632,828 "	72 	42.2 	15.8 	2010/5/28
3051	上場廃止	松坂屋ホールディングス	"8,489,264 "	45 	46.2 	24.2 	2007/5/25
3052	上場廃止	協和医科器械	"5,367,230 "	578 	34.9 	9.5 	2009/9/25
3053	卸売業	ペッパーフードサービス	"4,589,000 "	406 	38.2 	4.2 	2010/3/29
3054	卸売業	ハイパー	"4,032,735 "	193 	31.8 	4.3 	2010/3/25
3055	卸売業	ほくやく・竹山ホールディングス	"5,597,202 "	107 	44.4 	17.7 	2010/6/28
3057	小売業	ゼットン	"3,728,611 "	808 	30.5 	3.0 	2010/5/27
3058	小売業	三洋堂書店	"3,776,000 "	"1,291 "	31.5 	6.1 	2010/6/25
3059	小売業	ヒラキ	"4,661,000 "	774 	39.6 	8.8 	2010/6/30
3060	小売業	マガシーク	"4,858,201 "	115 	31.1 	2.8 	2010/6/24
3061	卸売業	ＫＦＥ　ＪＡＰＡＮ	"6,040,000 "	25 	41.3 	2.6 	2010/6/29
3062	小売業	アライドハーツ・ホールディングス	"7,371,000 "	50 	44.4 	10.2 	2010/2/8
3063	小売業	ジェイプロジェクト	"3,516,622 "	861 	30.0 	3.4 	2010/5/28
3064	小売業	ＭｏｎｏｔａＲＯ	"4,976,015 "	302 	37.7 	4.7 	2010/3/29
3065	小売業	ライフフーズ	"4,575,490 "	"1,489 "	32.1 	9.0 	2010/5/28
3066	小売業	ＪＢイレブン	"4,406,278 "	675 	33.4 	3.8 	2009/9/25
3067	小売業	東京一番フーズ	"3,952,000 "	333 	29.2 	2.9 	2009/12/28
3068	小売業	ＷＤＩ	"8,927,141 "	2 	50.6 	27.0 	2010/6/29
3069	小売業	アスラポート・ダイニング	"5,296,844 "	12 	36.7 	1.3 	2010/6/25
3070	卸売業	アマガサ	"4,235,607 "	228 	31.6 	5.8 	2010/4/28
3071	小売業	ストリーム	"5,538,416 "	53 	35.8 	4.3 	2010/4/30
3073	小売業	ダイヤモンドダイニング	"3,706,565 "	"1,391 "	29.9 	1.8 	2010/5/28
3074	上場廃止	ゴルフパートナー	"4,425,378 "	345 	31.9 	3.0 	2009/6/26
3075	小売業	銚子丸	"4,716,205 "	"1,215 "	40.0 	3.1 	2009/8/7
3076	卸売業	あい　ホールディングス	"6,524,295 "	17 	44.6 	19.6 	2009/9/29
3077	小売業	ホリイフードサービス	"4,213,000 "	726 	32.6 	4.0 	2010/6/25
3078	小売業	ユニバース	"4,192,000 "	"3,687 "	34.0 	10.0 	2010/7/15
3079	卸売業	ディーブイエックス	"6,955,000 "	190 	39.8 	4.7 	2010/6/28
3080	小売業	ジェーソン	"4,039,954 "	578 	32.9 	7.8 	2010/5/28
3082	小売業	きちり	"3,479,249 "	573 	28.5 	2.5 	2009/9/28
3083	小売業	シーズメン	"3,983,283 "	425 	33.2 	6.8 	2010/5/28
3085	小売業	アークランドサービス	"4,705,823 "	745 	32.5 	4.1 	2010/3/29
3086	小売業	Ｊ．フロント　リテイリング	"7,218,910 "	907 	45.0 	23.3 	2010/5/28
3087	小売業	ドトール・日レスホールディングス	"6,602,000 "	15 	39.7 	1.1 	2010/5/27
3088	小売業	マツモトキヨシホールディングス	"7,530,369 "	154 	41.9 	11.2 	2010/6/29
3089	卸売業	テクノアルファ					2010/2/25
3090	小売業	ミネルヴァ・ホールディングス	"2,889,547 "	21 	35.0 	2.8 	2010/4/30
3091	小売業	ブロンコビリー	"4,802,000 "	651 	30.3 	5.8 	2010/3/25
3092	小売業	スタートトゥデイ	"4,369,000 "	355 	27.1 	3.0 	2010/6/29
3093	小売業	トレジャー・ファクトリー	"4,161,051 "	481 	28.3 	3.5 	2010/5/28
3094	小売業	スーパーバリュー	"5,164,000 "	"1,380 "	40.5 	4.4 	2010/5/31
3095	上場廃止	大西電気	"4,662,000 "	102 	32.5 	6.0 	2009/6/29
3096	小売業	オーシャンシステム	"3,250,786 "	"2,658 "	35.1 	5.9 	2010/6/25
3097	小売業	物語コーポレーション	"4,697,730 "	"1,249 "	30.2 	4.1 	2009/9/25
3098	小売業	ココカラファイン　ホールディングス	"6,406,000 "	31 	40.6 	1.3 	2010/6/25
3099	小売業	三越伊勢丹ホールディングス					2010/6/28
3101	繊維製品	東洋紡	"5,290,657 "	"3,654 "	39.1 	16.5 	2010/6/29
3102	上場廃止	カネボウ	"6,753,593 "	33 	53.7 	29.3 	2007/6/29
3103	繊維製品	ユニチカ	"4,259,889 "	"1,510 "	39.5 	17.8 	2010/6/29
3104	繊維製品	富士紡ホールディングス	"5,559,780 "	68 	42.8 	19.9 	2010/6/30
3105	繊維製品	日清紡ホールディングス	"6,405,120 "	244 	39.8 	16.6 	2010/6/29
3106	繊維製品	クラボウ	"4,986,000 "	"1,629 "	39.0 	17.0 	2010/6/29
3107	繊維製品	ダイワボウホールディングス	"7,055,000 "	10 	43.0 	20.5 	2010/6/29
3109	繊維製品	シキボウ	"4,480,000 "	731 	42.1 	15.7 	2010/6/29
3110	ガラス・土石製品	日東紡	"5,675,016 "	"1,124 "	42.3 	21.0 	2010/6/29
3111	繊維製品	オーミケンシ	"3,902,011 "	148 	37.8 	14.3 	2010/6/29
3113	証券業	Ｏａｋ　キャピタル	"8,436,457 "	22 	42.8 	6.2 	2010/6/30
3114	繊維製品	プロジェ・ホールディングス	"4,724,000 "	10 	41.0 	1.8 	2010/5/27
3116	輸送用機器	トヨタ紡織	"5,791,354 "	"7,919 "	35.0 	11.5 	2010/6/24
3117	上場廃止	興和紡績	"7,668,483 "	198 	43.5 	21.8 	2009/6/29
3121	サービス業	マーチャント・バンカーズ	"5,569,000 "	14 	36.8 	1.5 	2010/6/25
3123	繊維製品	サイボー	"5,177,000 "	108 	45.5 	16.7 	2010/6/29
3125	繊維製品	新内外綿	"6,013,561 "	37 	42.1 	16.8 	2010/6/21
3128	化学	テラボウ	"3,731,000 "	69 	45.0 	10.7 	2010/6/30
3129	機械	ファブリカ　トヤマ	"4,435,000 "	146 	38.6 	16.2 	2010/6/30
3140	卸売業	イデアインターナショナル	"4,276,350 "	240 	30.1 	2.0 	2009/9/30
3141	小売業	グローウェルホールディングス	"10,037,000 "	1 	54.3 	1.0 	2009/11/30
3143	卸売業	オーウイル	"5,800,000 "	133 	34.2 	4.0 	2010/6/28
3146	小売業	らでぃっしゅぼーや	"5,012,000 "	374 	38.0 	7.6 	2010/5/27
3147	小売業	リックコーポレーション	"4,214,000 "	"1,173 "	34.4 	8.9 	2010/5/26
3148	小売業	クリエイトＳＤホールディングス	"409,258 "	8 	44.0 	6.1 	2009/8/24
3150	卸売業	ユビキタスエナジー	"4,011,000 "	220 	27.1 	1.8 	2010/6/25
3151	卸売業	バイタルケーエスケー・ホールディングス	"7,775,557 "	4 	51.0 	1.0 	2010/6/29
3153	卸売業	八洲電機					2010/6/29
3156	卸売業	ＵＫＣホールディングス	"6,228,012 "	72 	39.6 	11.3 	2010/6/29
3157	卸売業	ジューテックホールディングス	"5,052,000 "	102 	37.9 	13.3 	2010/6/30
3163	小売業	トータル・メディカルサービス	"4,205,000 "	235 	32.1 	5.1 	2010/6/29
3201	繊維製品	ニッケ	"4,878,424 "	977 	44.0 	17.7 	2010/2/25
3202	繊維製品	大東紡織	"4,938,000 "	75 	38.9 	11.0 	2010/6/29
3204	繊維製品	トーア紡コーポレーション	"4,959,077 "	65 	41.8 	15.8 	2010/3/30
3205	繊維製品	ダイドーリミテッド	"5,491,000 "	100 	45.6 	16.0 	2010/6/30
3207	上場廃止	中央コーポレーション	"7,363,000 "	80 	42.6 	6.5 	2009/8/31
3209	卸売業	カネヨウ	"4,982,000 "	51 	44.1 	13.0 	2010/6/29
3211	上場廃止	太陽毛絲紡績	"4,738,000 "	12 	45.8 	16.0 	2009/12/18
3216	上場廃止	御幸ホールディングス	"6,158,000 "	19 	42.2 	18.2 	2009/6/24
3225	不動産業	東京建物不動産販売	"5,955,026 "	519 	37.6 	8.5 	2010/3/29
3228	不動産業	三栄建築設計	"5,168,498 "	156 	32.5 	3.5 	2009/11/27
3230	不動産業	スター・マイカ	"6,219,000 "	35 	33.6 	2.6 	2010/2/25
3231	不動産業	野村不動産ホールディングス	"10,067,400 "	14 	45.0 	2.5 	2010/6/30
3232	不動産業	三重交通グループＨＤ	"7,327,862 "	22 	46.1 	23.7 	2010/6/25
3233	上場廃止	ファンドクリエーション	"5,959,000 "	41 	37.3 	2.2 	2009/2/26
3235	不動産業	トラストパーク	"4,027,000 "	354 	34.0 	4.8 	2009/9/30
3236	不動産業	プロパスト	"5,944,000 "	59 	34.6 	4.6 	2009/8/28
3237	不動産業	イントランス	"4,775,944 "	12 	33.0 	3.1 	2010/6/25
3238	不動産業	セントラル総合開発	"5,938,000 "	126 	42.3 	11.1 	2010/6/25
3239	不動産業	総和地所	"5,432,735 "	20 	38.0 	4.8 	2010/5/31
3241	不動産業	ウィル	"4,129,280 "	80 	28.5 	4.6 	2010/3/10
3242	不動産業	アーバネットコーポレーション	"5,178,260 "	50 	35.5 	2.1 	2009/9/28
3243	不動産業	ダイヨシトラスト	"3,834,602 "	40 	38.3 	3.3 	2009/11/26
3244	不動産業	サムティ	"5,277,615 "	60 	35.2 	4.8 	2010/2/26
3245	不動産業	ディア・ライフ	"3,977,000 "	16 	35.8 	1.4 	2009/12/28
3246	不動産業	コーセーアールイー	"5,305,000 "	49 	36.9 	3.9 	2010/4/28
3247	上場廃止	エルクリエイト	"4,843,934 "	65 	28.6 	2.0 	2007/9/28
3248	不動産業	アールエイジ	"4,546,000 "	44 	28.4 	4.3 	2010/1/29
3250	不動産業	エー・ディー・ワークス	"5,725,000 "	28 	37.2 	3.8 	2010/6/25
3251	不動産業	駐車場綜合研究所	"4,191,000 "	391 	36.5 	3.0 	2010/6/23
3252	不動産業	日本商業開発	"7,262,670 "	15 	40.4 	4.0 	2010/6/28
3254	不動産業	プレサンスコーポレーション	"8,175,847 "	113 	30.3 	3.3 	2010/6/25
3258	不動産業	常和ホールディングス	"7,585,188 "	29 	45.8 	4.1 	2010/6/25
3259	不動産業	グローバル住販	"6,774,000 "	54 	32.7 	3.5 	2009/9/28
3260	不動産業	ゲオエステート	"7,096,000 "	12 	38.6 	3.7 	2010/5/28
3264	不動産業	アスコット	"5,751,514 "	19 	35.8 	4.8 	2009/12/15
3265	不動産業	ヒューリック	"7,254,329 "	291 	46.3 	7.5 	2010/3/17
3266	不動産業	ファンドクリエーショングループ	"811,000 "	6 	42.5 	0.6 	2010/2/25
3268	不動産業	一建設	"5,338,520 "	863 	35.1 	6.0 	2010/4/26
3302	繊維製品	帝国繊維	"6,110,622 "	171 	45.3 	17.4 	2010/3/26
3304	上場廃止	トスコ	"3,917,000 "	148 	45.5 	22.7 	2007/6/28
3306	卸売業	日本製麻	"3,543,000 "	116 	42.0 	12.0 	2010/6/30
3310	上場廃止	ＪＩＭＯＳ	"3,943,924 "	259 	29.3 	2.2 	2006/9/28
3311	小売業	アップガレージ	"4,332,128 "	207 	30.0 	4.0 	2010/6/28
3313	小売業	ブックオフコーポレーション	"5,002,666 "	"3,048 "	30.9 	4.4 	2010/6/28
3315	卸売業	日本コークス工業	"5,735,468 "	718 	45.0 	21.4 	2010/6/25
3316	卸売業	東京日産コンピュータシステム	"6,139,595 "	117 	37.5 	9.3 	2010/6/21
3317	小売業	フライングガーデン	"4,433,000 "	945 	31.2 	6.1 	2010/6/25
3318	小売業	メガネスーパー	"3,148,561 "	"1,908 "	34.9 	8.1 	2010/7/26
3319	小売業	ゴルフダイジェスト・オンライン	"6,170,555 "	354 	32.8 	3.0 	2010/3/29
3320	卸売業	クロスプラス	"5,803,000 "	"1,165 "	37.4 	12.4 	2010/4/26
3321	卸売業	ミタチ産業	"5,012,960 "	143 	36.4 	7.7 	2009/8/27
3322	卸売業	アルファグループ	"4,652,033 "	31 	34.7 	4.6 	2010/6/29
3323	卸売業	レカムホールディングス	"5,972,633 "	29 	39.7 	4.6 	2009/12/18
3324	上場廃止	エイペックス	"6,054,000 "	21 	40.2 	3.2 	2007/6/28
3325	小売業	ケンコーコム	"4,519,761 "	103 	33.4 	3.4 	2010/6/23
3326	小売業	ランシステム	"4,182,689 "	679 	32.1 	6.4 	2009/9/28
3328	小売業	ネットプライスドットコム	"5,230,955 "	35 	30.9 	2.6 	2009/12/14
3329	小売業	東和フードサービス	"4,622,750 "	"1,094 "	30.7 	6.3 	2009/7/27
3330	上場廃止	アガスタ	"4,030,297 "	26 	28.3 	2.7 	2009/9/29
3331	小売業	雑貨屋ブルドッグ	"3,203,791 "	"1,476 "	29.3 	3.8 	2009/11/30
3332	卸売業	ＪＦＥ商事ホールディングス	"7,915,379 "	14 	41.9 	18.2 	2010/6/29
3333	小売業	あさひ	"3,990,451 "	"1,040 "	30.3 	4.8 	2010/5/17
3334	上場廃止	イーネット・ジャパン	"3,724,000 "	30 	34.4 	2.4 	2008/6/23
3335	卸売業	エー・ディ・エム	"6,347,397 "	91 	39.5 	5.1 	2010/6/28
3337	小売業	サークルＫサンクス	"6,151,000 "	"2,363 "	38.5 	12.5 	2010/5/27
3338	上場廃止	九九プラス	"4,011,000 "	"6,414 "	34.7 	3.1 	2010/5/24
3339	上場廃止	マリンポリス	"4,426,575 "	"1,064 "	31.6 	4.9 	2007/1/31
3340	上場廃止	がんこ炎	"4,036,000 "	478 	35.9 	2.9 	2005/12/22
3341	小売業	日本調剤	"5,060,000 "	"1,905 "	32.0 	4.9 	2010/6/28
3343	卸売業	チップワンストップ	"4,937,000 "	86 	31.3 	2.6 	2010/3/26
3344	小売業	ワンダーコーポレーション	"4,298,292 "	"2,073 "	36.1 	7.7 	2010/5/27
3346	小売業	２１ＬＡＤＹ	"5,215,418 "	5 	45.2 	2.1 	2010/6/29
3347	小売業	トラスト	"4,821,000 "	48 	34.4 	3.1 	2010/6/28
3348	上場廃止	ジー・トレーディング	"4,591,289 "	77 	37.0 	2.6 	2009/5/28
3349	小売業	コスモス薬品	"4,169,683 "	"4,832 "	28.6 	3.0 	2009/8/31
3350	卸売業	ダイキサウンド	"5,593,000 "	29 	35.0 	4.8 	2009/11/26
3351	小売業	ＴＲＮコーポレーション	"4,897,000 "	19 	33.5 	2.9 	2010/5/28
3352	小売業	バッファロー	"4,500,000 "	334 	32.9 	6.5 	2010/6/24
3353	小売業	メディカル一光	"4,533,000 "	461 	32.6 	5.4 	2010/5/21
3354	卸売業	チェルト	"6,492,287 "	227 	40.7 	5.6 	2010/5/17
3355	卸売業	クリヤマ	"4,445,000 "	272 	37.7 	10.2 	2010/3/31
3356	卸売業	テリロジー	"5,294,000 "	114 	35.4 	6.3 	2010/6/24
3358	小売業	ワイエスフード	"3,881,735 "	430 	34.1 	5.1 	2010/6/30
3359	卸売業	タイセイ	"2,367,912 "	81 	39.0 	2.9 	2009/12/21
3360	卸売業	シップヘルスケアＨＤ	"5,515,000 "	12 	39.0 	4.3 	2010/6/25
3361	小売業	トーエル	"4,708,000 "	350 	38.7 	6.4 	2009/7/31
3362	上場廃止	チムニー	"4,539,000 "	"3,898 "	33.1 	2.9 	2010/3/24
3364	上場廃止	ナルミヤ・インターナショナル	"3,253,170 "	"1,196 "	30.3 	6.5 	2010/4/28
3366	小売業	一六堂	"4,806,211 "	694 	34.0 	2.8 	2010/5/31
3367	上場廃止	グリーンフーズ	"4,197,955 "	120 	34.1 	3.1 	2009/6/23
3370	小売業	フジタコーポレーション	"3,648,681 "	866 	34.6 	7.0 	2010/6/29
3371	卸売業	ソフトクリエイト	"5,879,000 "	232 	32.7 	5.7 	2010/6/28
3372	小売業	関門海	"4,008,000 "	478 	34.4 	3.0 	2010/2/25
3373	上場廃止	リンク・セオリー・ホールディングス	"6,820,000 "	52 	36.4 	2.8 	2008/11/28
3374	卸売業	内外テック	"3,552,086 "	137 	40.5 	9.7 	2010/6/24
3375	小売業	ＺＯＡ	"3,875,888 "	237 	33.7 	7.2 	2010/6/24
3376	小売業	オンリー	"3,275,385 "	310 	29.3 	2.7 	2009/11/27
3377	卸売業	アイケイコーポレーション	"3,594,409 "	960 	29.4 	3.0 	2009/11/27
3379	上場廃止	富士バイオメディックス	"4,790,000 "	738 	37.4 	3.3 	2008/9/1
3381	卸売業	ビズネット	"5,930,000 "	121 	41.1 	4.4 	2009/8/10
3382	小売業	セブン＆アイ・ホールディングス	"7,206,635 "	412 	42.3 	17.3 	2010/5/31
3383	卸売業	ノア	"6,760,000 "	27 	39.8 	3.9 	2009/9/29
3384	卸売業	アークコア	"3,699,000 "	52 	34.8 	3.8 	2010/5/27
3385	小売業	薬王堂	"4,284,000 "	425 	32.9 	6.3 	2010/5/26
3386	卸売業	コスモ・バイオ	"6,994,832 "	100 	38.3 	8.7 	2010/3/26
3387	小売業	クリエイト・レストランツ・ＨＤ	"3,800,367 "	"3,676 "	33.4 	3.3 	2010/5/28
3388	卸売業	明治電機工業	"4,862,419 "	500 	37.0 	14.6 	2010/6/24
3390	卸売業	ユニバーサルソリューションシステムズ	"4,211,178 "	65 	33.8 	2.9 	2010/6/30
3391	小売業	ツルハホールディングス	"6,901,573 "	58 	43.3 	14.3 	2009/8/12
3392	卸売業	デリカフーズ	"6,600,000 "	6 	38.9 	3.3 	2010/6/28
3393	卸売業	スターティア	"4,736,000 "	211 	29.6 	3.4 	2010/6/25
3394	卸売業	ネットワークバリューコンポネンツ	"4,795,077 "	98 	34.1 	3.7 	2010/3/31
3395	小売業	サンマルクホールディングス	"5,241,497 "	275 	37.2 	3.9 	2010/6/25
3396	小売業	フェリシモ	"6,985,929 "	890 	38.3 	12.1 	2010/5/26
3397	小売業	トリドール	"5,108,000 "	"5,012 "	32.3 	2.5 	2010/6/29
3398	小売業	クスリのアオキ	"4,415,883 "	"1,482 "	31.6 	4.2 	2009/8/19
3399	小売業	丸千代山岡家	"4,476,306 "	897 	38.4 	6.1 	2010/4/28
3401	繊維製品	帝人	"7,124,000 "	419 	41.4 	15.6 	2010/6/23
3402	繊維製品	東レ	"5,685,000 "	"6,915 "	35.3 	12.8 	2010/6/24
3403	上場廃止	東邦テナックス	"6,029,000 "	563 	38.0 	15.9 	2007/6/28
3404	繊維製品	三菱レイヨン	"5,904,985 "	"2,846 "	40.9 	19.1 	2010/6/29
3405	化学	クラレ	"6,236,851 "	"2,973 "	40.3 	18.7 	2010/6/24
3407	化学	旭化成	"8,038,458 "	780 	43.2 	17.9 	2010/6/30
3408	繊維製品	サカイオーベックス	"3,591,000 "	525 	37.0 	15.0 	2010/6/28
3409	繊維製品	北日本紡績	"4,314,499 "	6 	51.1 	5.2 	2010/6/29
3411	繊維製品	オートリ	"4,277,876 "	77 	36.3 	6.5 	2010/6/25
3420	金属製品	ケー・エフ・シー	"6,480,974 "	246 	40.6 	13.4 	2010/6/21
3421	金属製品	稲葉製作所	"5,255,364 "	"1,007 "	41.9 	17.6 	2009/10/16
3422	金属製品	丸順	"4,438,356 "	561 	35.9 	12.2 	2010/6/24
3423	金属製品	エスイー	"6,125,245 "	206 	38.9 	8.7 	2010/6/29
3424	金属製品	ミヤコ	"4,576,252 "	114 	37.0 	13.0 	2010/6/30
3425	上場廃止	本郷	"4,558,000 "	796 	34.8 	10.5 	2005/12/21
3426	金属製品	アトムリビンテック	"5,801,186 "	136 	39.7 	13.3 	2009/9/30
3428	上場廃止	サンポット	"5,155,977 "	306 	35.5 	9.5 	2007/6/25
3429	金属製品	ストロベリーコーポレーション	"4,978,000 "	93 	37.5 	5.4 	2010/6/18
3431	金属製品	宮地エンジニアリンググループ	"7,298,000 "	15 	44.5 	20.2 	2010/6/29
3432	金属製品	三協・立山ホールディングス	"4,688,000 "	106 	42.9 	19.2 	2009/8/31
3433	金属製品	トーカロ	"6,371,000 "	634 	36.9 	11.5 	2010/6/24
3434	金属製品	アルファ	"4,763,677 "	785 	39.5 	16.7 	2010/6/25
3435	金属製品	サンコーテクノ	"4,326,264 "	392 	39.3 	12.4 	2010/6/28
3436	金属製品	ＳＵＭＣＯ	"5,576,766 "	"5,046 "	39.3 	14.9 	2010/4/28
3437	金属製品	特殊電極	"4,587,000 "	262 	41.0 	14.1 	2010/6/25
3439	金属製品	三ツ知	"4,646,172 "	74 	36.8 	9.4 	2009/9/25
3440	金属製品	日創プロニティ	"3,709,140 "	120 	37.5 	5.8 	2009/11/26
3441	金属製品	山王	"4,214,697 "	439 	35.7 	8.3 	2009/10/30
3442	金属製品	ＭＩＥコーポレーション	"4,866,493,952 "	10 	44.3 	12.3 	2010/6/25
3443	金属製品	川田テクノロジーズ	"5,827,343 "	38 	39.1 	15.9 	2010/6/30
3501	繊維製品	住江織物	"6,065,000 "	376 	40.3 	16.8 	2009/8/28
3503	上場廃止	東和織物	"4,281,000 "	72 	48.8 	16.2 	2008/6/27
3512	繊維製品	日本フエルト	"5,542,548 "	553 	41.7 	20.8 	2010/6/29
3513	繊維製品	イチカワ	"5,261,000 "	540 	37.0 	16.7 	2010/6/29
3514	繊維製品	日本バイリーン	"5,538,270 "	990 	43.2 	19.0 	2010/6/29
3515	繊維製品	フジコー	"4,294,000 "	232 	40.7 	17.3 	2010/6/30
3521	不動産業	エコナック	"3,790,000 "	8 	38.1 	8.9 	2010/6/30
3524	繊維製品	日東製網	"4,151,000 "	290 	44.4 	11.6 	2009/7/28
3526	繊維製品	芦森工業	"5,718,882 "	737 	38.5 	14.5 	2010/6/29
3528	不動産業	グローベルス	"5,608,000 "	76 	37.9 	6.8 	2010/6/28
3529	繊維製品	アツギ	"6,106,594 "	712 	40.5 	15.0 	2010/6/29
3532	上場廃止	堀田産業	"4,514,238 "	25 	47.5 	19.9 	2007/6/27
3533	上場廃止	ダイオ化成	"4,914,082 "	135 	35.0 	8.1 	2005/6/20
3534	繊維製品	ＮＢＣメッシュテック	"5,114,509 "	485 	38.9 	15.6 	2010/6/29
3551	繊維製品	ダイニック	"5,062,912 "	814 	40.8 	18.0 	2010/6/28
3552	上場廃止	東洋クロス	"5,058,000 "	321 	41.3 	18.5 	2009/6/26
3553	化学	共和レザー	"5,231,000 "	750 	38.2 	14.5 	2010/6/30
3569	繊維製品	セーレン					2010/6/24
3570	上場廃止	オリカキャピタル	"4,699,000 "	29 	37.5 	6.5 	2008/6/30
3571	繊維製品	ソトー	"3,971,000 "	320 	39.7 	17.8 	2010/6/29
3576	上場廃止	カンボウプラス	"5,349,053 "	165 	42.6 	21.2 	2003/6/27
3577	繊維製品	東海染工	"4,282,000 "	462 	43.1 	20.3 	2010/6/30
3578	繊維製品	倉庫精練	"3,397,000 "	352 	40.2 	19.2 	2010/6/25
3580	繊維製品	小松精練	"4,877,153 "	745 	39.8 	18.2 	2010/6/28
3583	繊維製品	オーベクス	"4,243,000 "	144 	40.9 	13.5 	2010/6/25
3584	上場廃止	福助	"5,254,000 "	954 	44.7 	23.0 	2003/7/18
3585	情報・通信業	トムス・エンタテインメント	"4,830,975 "	168 	35.9 	8.2 	2010/6/15
3587	卸売業	アイビーダイワ	"5,574,000 "	9 	51.3 	19.6 	2010/6/23
3588	上場廃止	丸山工業	"4,857,000 "	82 	40.8 	15.9 	2007/6/28
3591	繊維製品	ワコールホールディングス	"7,930,069 "	69 	47.0 	22.8 	2010/6/29
3592	上場廃止	ＣＨＯＹＡ	"4,543,361 "	578 	44.5 	12.9 	2008/4/22
3593	繊維製品	ホギメディカル	"5,977,273 "	747 	37.6 	11.7 	2010/6/24
3594	上場廃止	モリシタ	"3,496,775 "	322 	46.4 	12.2 	2010/5/20
3595	上場廃止	ヤギコーポレーション	"4,286,676 "	139 	39.9 	11.8 	2006/6/20
3596	上場廃止	ワールド	"6,775,406 "	"2,173 "	41.3 	14.9 	2010/6/18
3597	繊維製品	自重堂	"4,531,428 "	347 	40.2 	16.0 	2009/9/28
3598	繊維製品	山喜	"4,030,272 "	212 	39.5 	11.9 	2010/6/25
3599	繊維製品	コーコス信岡	"3,620,486 "	214 	38.5 	9.6 	2010/6/29
3600	繊維製品	フジックス	"4,533,917 "	161 	44.6 	15.5 	2010/6/29
3603	上場廃止	チャコット	"4,201,000 "	668 	34.0 	8.9 	2004/5/27
3604	繊維製品	川本産業	"5,082,317 "	647 	35.8 	13.0 	2010/6/25
3605	繊維製品	サンエー・インターナショナル	"3,686,305 "	"3,827 "	29.1 	4.8 	2009/11/27
3606	繊維製品	レナウン	"4,625,257 "	"4,573 "	41.0 	17.4 	2010/5/28
3607	繊維製品	クラウディア	"4,725,157 "	267 	33.6 	7.1 	2009/11/26
3620	情報・通信業	デジタルハーツ	"3,496,125 "	862 	32.2 	2.8 	2010/6/24
3622	情報・通信業	ネットイヤーグループ	"5,818,171 "	128 	34.7 	3.7 	2010/6/25
3623	情報・通信業	ビリングシステム	"6,879,000 "	24 	41.7 	3.6 	2010/3/26
3624	情報・通信業	アクセルマーク	"4,440,000 "	60 	28.5 	1.8 	2009/12/16
3625	情報・通信業	テックファーム	"5,250,000 "	200 	29.9 	3.1 	2009/10/26
3626	情報・通信業	ＩＴホールディングス	"8,188,000 "	61 	45.7 	16.1 	2010/6/25
3627	情報・通信業	プライムワークス	"5,305,813 "	157 	34.6 	2.2 	2010/5/27
3628	情報・通信業	データホライゾン	"5,357,000 "	117 	34.3 	4.8 	2010/6/28
3629	情報・通信業	クロス・マーケティング	"5,228,000 "	168 	32.5 	2.8 	2010/3/29
3630	情報・通信業	電算システム	"5,076,000 "	629 	36.4 	9.6 	2010/3/25
