証券コード	業種	会社名	平均年収	従業員数	平均年齢	平均勤続年数	情報公開日
1755	上場廃止	ＪＦＥ工建	"7,164,000 "	"1,307 "	44.0 	19.2 	2003/6/27
1756	建設業	和興エンジニアリング	"5,713,593 "	609 	43.8 	17.3 	2010/6/22
1757	建設業	東邦グローバルアソシエイツ	"6,205,000 "	12 	39.4 	1.7 	2010/6/29
1758	建設業	太洋基礎工業	"5,273,000 "	171 	40.2 	10.0 	2010/4/26
1759	上場廃止	ジオトップ	"5,395,968 "	390 	41.4 	11.9 	2005/6/27
1761	上場廃止	ミサワホーム北海道	"4,741,052 "	336 	38.8 	12.5 	2010/6/29
1762	建設業	高松コンストラクショングループ	"6,137,000 "	11 	40.0 	13.9 	2010/6/30
1763	上場廃止	北陸ミサワホーム	"4,389,200 "	107 	35.8 	11.3 	2009/6/26
1764	建設業	工藤建設	"5,184,664 "	405 	39.1 	4.6 	2009/9/25
1765	上場廃止	イビデングリーンテック	"5,206,340 "	253 	39.3 	13.5 	2005/6/30
1766	建設業	東建コーポレーション	"5,987,000 "	"5,537 "	37.8 	3.6 	2009/7/30
1767	上場廃止	沖ウィンテック	"6,072,189 "	597 	39.9 	16.0 	2010/6/28
1768	建設業	ソネック	"5,244,974 "	105 	41.8 	14.9 	2010/6/23
1770	建設業	藤田エンジニアリング	"5,644,183 "	202 	40.0 	14.0 	2010/6/29
1771	建設業	日本乾溜工業	"4,498,269 "	175 	43.8 	14.8 	2009/12/18
1772	上場廃止	東北エンタープライズ	"4,970,287 "	78 	34.9 	9.7 	2003/6/27
1774	上場廃止	機動建設工業	"4,715,000 "	178 	42.3 	15.1 	2008/8/25
1775	建設業	富士古河Ｅ＆Ｃ	"6,670,150 "	"1,081 "	43.6 	19.4 	2010/6/23
1776	建設業	三井住建道路	"6,447,985 "	424 	43.3 	15.8 	2010/6/29
1777	建設業	川崎設備工業	"6,417,030 "	246 	44.6 	18.2 	2010/6/30
1778	上場廃止	古河総合設備	"6,831,247 "	351 	44.2 	16.5 	2009/6/29
1779	上場廃止	松本建工	"3,835,000 "	273 	41.2 	10.6 	2009/6/26
1780	建設業	ヤマウラ	"5,245,226 "	336 	39.9 	10.1 	2009/12/22
1781	上場廃止	国土総合建設	"5,710,394 "	389 	44.5 	15.8 	2007/6/28
1782	建設業	常磐開発	"4,463,340 "	274 	45.6 	20.9 	2010/6/29
1783	建設業	Ａ．Ｃホールディングス	"5,204,567 "	11 	46.7 	1.5 	2009/12/25
1786	上場廃止	オリエンタル白石	"6,095,852 "	"1,023 "	42.6 	18.1 	2010/5/31
1787	建設業	ナカボーテック	"7,139,966 "	255 	43.3 	17.9 	2010/6/30
1788	建設業	三東工業社	"5,003,903 "	87 	41.1 	13.9 	2009/9/28
1789	建設業	山加電業	"4,568,926 "	136 	42.0 	10.4 	2009/12/22
1790	上場廃止	平和奥田	"4,144,657 "	159 	38.3 	9.9 	2008/12/24
1792	上場廃止	みらい建設グループ	"5,640,073 "	7 	55.6 	27.6 	2008/6/27
1793	建設業	大本組	"6,640,000 "	878 	44.3 	19.9 	2010/6/29
1795	建設業	マサル	"5,533,325 "	76 	41.4 	12.2 	2010/6/23
1797	上場廃止	藤木工務店	"6,373,000 "	346 	42.8 	19.6 	2010/6/25
1798	建設業	守谷商会	"4,731,603 "	302 	41.7 	18.0 	2010/6/28
1799	建設業	第一建設工業	"6,382,953 "	903 	41.6 	13.3 	2010/6/30
1800	上場廃止	利根地下技術	"4,807,062 "	149 	39.9 	13.9 	2005/6/29
1801	建設業	大成建設	"8,669,923 "	"8,243 "	42.7 	19.4 	2010/6/30
1802	建設業	大林組	"8,640,696 "	"9,222 "	44.3 	20.2 	2010/6/28
1803	建設業	清水建設	"8,866,000 "	"13,029 "	45.1 	19.8 	2010/6/29
1805	建設業	飛島建設	"6,537,484 "	"1,565 "	45.1 	21.3 	2010/6/30
1807	建設業	佐藤渡辺	"5,481,888 "	756 	44.7 	21.8 	2010/6/25
1808	建設業	長谷工コーポレーション	"7,421,517 "	"2,338 "	41.4 	17.5 	2010/6/25
1810	建設業	松井建設	"6,075,811 "	756 	42.7 	14.9 	2010/6/30
1811	建設業	錢高組	"6,072,006 "	"1,564 "	45.9 	21.5 	2010/6/29
1812	建設業	鹿島	"8,906,680 "	"10,137 "	43.9 	19.0 	2010/6/29
1813	建設業	不動テトラ	"6,422,963 "	816 	47.6 	22.4 	2010/6/28
1814	建設業	大末建設	"5,287,716 "	559 	44.0 	20.8 	2010/6/15
1815	建設業	鉄建	"6,768,304 "	"1,853 "	46.4 	19.2 	2010/6/29
1816	建設業	安藤建設	"6,285,898 "	"1,895 "	41.8 	16.7 	2010/6/29
1817	上場廃止	勝村建設	"5,411,031 "	427 	42.3 	17.9 	2005/6/29
1819	建設業	太平工業	"5,850,000 "	"4,979 "	41.3 	14.9 	2010/6/29
1820	建設業	西松建設	"6,798,000 "	"3,327 "	42.3 	17.2 	2010/6/30
1821	建設業	三井住友建設	"5,820,000 "	"2,975 "	43.8 	20.6 	2010/6/29
1822	建設業	大豊建設	"5,710,080 "	924 	43.1 	18.5 	2010/6/29
1823	上場廃止	住友建設	"6,546,102 "	"2,114 "	43.6 	20.4 	2003/6/27
